,Model SKU,Current Base Line Cost
414,Z240-D-I5QC,55.0
102,6200-T-I5QC,55.0
53,400G3-D-I5QC,55.0
111,7010-T-I5QC,50.0
397,T610-U-GT56N,50.0
383,T510-U-EDENDC,50.0
13,3020-T-I5QC,50.0
118,7010-U-I7QC,50.0
75,6005-U-ATH2X2,50.0
77,600G1-D-I5QC,50.0
139,705G2-M-A8,50.0
339,M910Q-M-I5QC,48.0
330,M900-D-I5QC,46.0
332,M900-M-I5QC,46.0
331,M900-M-I5DC,46.0
328,M90-U-I5DC,45.0
85,600G2-M-I3DC,45.0
352,M92P-M-I5DC,45.0
110,7010-T-I3DC,45.0
353,M92P-M-I5QC,45.0
129,7050-M-I3DC,45.0
130,7050-M-I3QC,45.0
257,990-T-I5QC,45.0
11,3010-T-I5QC,45.0
9,3010-D-I5QC,45.0
329,M90-U-I5QC,44.73
137,705G1-M-AMD,42.0
285,M700-M-I3QC,40.0
260,990-U-I5QC,40.0
370,P300-D-XEQC,40.0
162,790-T-I5QC,40.0
284,M700-M-I3DC,40.0
140,705G2-M-AMDQC,36.0
336,M90P-U-I5DC,35.0
337,M90P-U-I5QC,35.0
171,800G1-D-I5QC,35.0
176,800G1-M-I5QC,35.0
81,600G1-M-I5QC,35.0
239,9020-M-I3DC,35.0
346,M91P-U-I5QC,35.0
50,400G1-M-I5QC,35.0
80,600G1-M-I5DC,35.0
248,9020-U-I5QC,35.0
360,M93P-M-I5DC,33.0
368,OP390-D-I5QC,33.0
361,M93P-M-I5QC,33.0
12,3020-M-I5QC,30.0
78,600G1-M-I3DC,30.0
16,3020M-M-I5QC,30.0
76,6005-U-ATH2X4,30.0
240,9020-M-I5QC,30.0
184,800G1-U-I5QC,30.0
165,790-U-I5DC,28.0
166,790-U-I5QC,28.0
181,800G1-U-I3DC,25.0
225,8300-U-I5DC,25.0
218,8200-U-I5QC,25.0
226,8300-U-I5QC,25.0
217,8200-U-I5DC,25.0
253,980-T-I5DC,25.0
318,M73P-M-I5DC,25.0
319,M73P-M-I5QC,25.0
316,M73-M-I5QC,25.0
315,M73-M-I5DC,25.0
235,9010-U-I5QC,25.0
164,790-U-I3QC,20.0
215,8200-U-I3DC,20.0
142,705G3-M-AMDDC,20.0
163,790-U-I3DC,20.0
223,8300-U-I3DC,20.0
170,8000-U-C2D,20.0
99,6200-D-I5QC,20.0
98,6200-D-I5DC,20.0
313,M73-M-CEL,20.0
314,M73-M-I3DC,20.0
116,7010-U-I5QC,20.0
276,M58-U-C2D,18.0
113,7010-U-I3DC,15.0
344,M91P-U-I3DC,15.0
281,M600-M-PQC,15.0
280,M600-M-PENT,15.0
279,M600-M-PDC,15.0
278,M600-M-CEL,15.0
277,M58P-U-C2D,15.0
252,960-T-C2D,14.0
